Genotype,rep,germinationdate,Age_one,Age_two,Group,Algae,Initalweight,WeightPreStress,Totalfreshweight,Totalshootweight,Totalrootweight,Totaldryweight,Shootdryweight,Rootdryweight,Green/yellow,Healthy/wilted
Bowman,49,22/10/2023,12,26,B,NA,0.458,2.565,2.364,1.45,0.914,0.2657,0.1849,0.0808,NA,NA
B289,51,22/10/2023,12,26,B,NA,0.453,0,#VALUE!,0,0,0,0,0,NA,NA
Bowman,51,22/10/2023,12,26,B,NA,0.472,2.575,2.783,1.791,0.992,0.2748,0.1859,0.0889,NA,NA
B290,5,21/10/2023,NA,NA,A,NA,0.383,0,0,0,0,0,0,0,NA,NA
B289,69,22/10/2023,12,26,B,NA,0.454,1.782,1.762,1.14,0.622,0.204,0.1411,0.0629,NA,NA
B289,1,21/10/2023,14,28,A,NA,0.472,1.572,1.069,0.442,0.627,0.1856,0.1373,0.0483,NA,NA
B290,2,21/10/2023,14,28,A,NA,0.495,2.098,1.363,0.767,0.596,0.1921,0.1321,0.06,NA,NA
B290,9,21/10/2023,NA,NA,A,NA,0.433,0,0,0,0,0,0,0,NA,NA
Bowman,2,21/10/2023,09/03/1976,09/03/1976,A,NA,0.459,2.441,1.552,0.89,0.662,0.2117,0.1489,0.0628,NA,NA
B290,4,21/10/2023,14,28,A,NA,0.488,1.631,1.404,0.902,0.502,0.1902,0.1383,0.0519,NA,NA
B290,6,21/10/2023,14,28,A,NA,0.474,1.79,1.671,1.19,0.481,0.1956,0.1513,0.0443,NA,NA
B289,8,21/10/2023,14,28,A,NA,0.495,1.774,1.635,0.982,0.653,0.1767,0.1034,0.0733,NA,NA
B289,9,21/10/2023,14,28,A,NA,0.488,1.848,1.119,0.68,0.439,0.186,0.1352,0.0508,NA,NA
